stage,method,geometry,family,mask,pooling,classifier,dim,oof_acc,oof_n,cv_acc,cv_std,cv_f1,cv_folds,epoch_budget,fold_epochs,test_ensemble_acc,test_ensemble_f1,test_refit_acc,test_refit_f1,refit_unreliable,test_n,test_single_acc,test_single_f1,test_ensemble_correct,test_ensemble_ci,test_refit_correct,test_refit_ci
probe,dinov2_b14,g32_t5,frozen,masked,avg,linear,3840,89.10336239103363,1606,89.1029585340841,1.3968266904943945,0.8903465855112997,"[89.75155279503106, 87.22741433021807, 89.09657320872275, 88.47352024922118, 90.96573208722741]",6,"[6, 3, 6, 3, 9]",92.17877094972067,0.9216480453039593,92.73743016759776,0.9272952728294295,False,179,90.5027932960894,0.9050731700426591,165,"[87.3,95.3]",166,"[88.0,95.7]"
probe,dinov2_b14,g32_t5,frozen,masked,avg,mlp,3840,88.85429638854296,1606,88.85373735028347,0.9774973652171135,0.8880625309999598,"[89.75155279503106, 88.47352024922118, 87.85046728971963, 88.1619937694704, 90.03115264797508]",6,"[10, 6, 6, 4, 9]",92.17877094972067,0.9216889849422267,91.06145251396647,0.9105384271511314,False,179,88.8268156424581,0.8892015414753689,165,"[87.3,95.3]",163,"[86.0,94.4]"
probe,dinov2_b14,g32_t5,frozen,masked,max,linear,3840,89.60149439601494,1606,89.60159439639327,0.6437793131200334,0.8954543606466597,"[89.44099378881988, 89.09657320872275, 90.65420560747664, 89.09657320872275, 89.7196261682243]",8,"[21, 8, 18, 7, 2]",94.41340782122904,0.9449009348906812,93.29608938547486,0.9333890746934226,False,179,93.85474860335195,0.9395211629500885,169,"[90.0,96.9]",167,"[88.6,96.1]"
probe,dinov2_b14,g32_t5,frozen,masked,max,mlp,3840,89.47696139476962,1606,89.47717729920086,0.860915449682389,0.8940504954562085,"[89.13043478260869, 88.1619937694704, 90.03115264797508, 89.7196261682243, 90.34267912772586]",11,"[9, 17, 11, 13, 3]",92.73743016759776,0.9285197881868517,91.06145251396647,0.9109466965008733,False,179,92.17877094972067,0.9227011528819418,166,"[88.0,95.7]",163,"[86.0,94.4]"
probe,dinov2_b14,g32_t5,frozen,masked,avg+max,linear,7680,88.85429638854296,1606,88.85373735028347,1.1165336276906932,0.887751720786677,"[89.75155279503106, 87.85046728971963, 90.34267912772586, 88.1619937694704, 88.1619937694704]",3,"[1, 8, 6, 3, 1]",92.17877094972067,0.9221086710383545,92.17877094972067,0.9219247083775186,True,179,90.5027932960894,0.9056730194399951,165,"[87.3,95.3]",165,"[87.3,95.3]"
probe,dinov2_b14,g32_t5,frozen,masked,avg+max,mlp,7680,89.29016189290162,1606,89.29026141135041,1.9271823267932418,0.892661648110049,"[89.13043478260869, 86.91588785046729, 90.34267912772586, 88.1619937694704, 91.90031152647975]",11,"[11, 32, 16, 11, 6]",91.62011173184358,0.9165901416183448,90.5027932960894,0.9056199530576103,False,179,92.73743016759776,0.9269336758920093,164,"[86.6,94.9]",162,"[85.3,94.0]"
probe,dinov2_b14,g32_t5,frozen,nomask,avg,linear,3840,86.55043586550435,1606,86.55018285249898,0.869022841109137,0.8647838907874357,"[86.95652173913044, 86.29283489096574, 85.98130841121495, 85.66978193146417, 87.85046728971963]",6,"[6, 3, 5, 7, 7]",91.06145251396647,0.9110809150372,91.06145251396647,0.9113899245621244,False,179,90.5027932960894,0.905659691186007,163,"[86.0,94.4]",163,"[86.0,94.4]"
probe,dinov2_b14,g32_t5,frozen,nomask,avg,mlp,3840,86.11457036114571,1606,86.11462626497165,0.35189474459342895,0.8602087521389098,"[86.0248447204969, 85.66978193146417, 85.98130841121495, 86.29283489096574, 86.6043613707165]",9,"[17, 10, 4, 9, 3]",91.62011173184358,0.916710305823209,92.17877094972067,0.9224752595462354,False,179,90.5027932960894,0.9047090673377565,164,"[86.6,94.9]",165,"[87.3,95.3]"
probe,dinov2_b14,g32_t5,frozen,nomask,max,linear,3840,87.42216687422167,1606,87.42129602755362,1.7772978182388288,0.8737556617470389,"[88.81987577639751, 84.42367601246106, 88.47352024922118, 88.1619937694704, 87.22741433021807]",5,"[5, 5, 5, 10, 1]",91.06145251396647,0.9115133449779236,92.73743016759776,0.9277186013758904,False,179,93.85474860335195,0.9389752270655692,163,"[86.0,94.4]",166,"[88.0,95.7]"
probe,dinov2_b14,g32_t5,frozen,nomask,max,mlp,3840,86.61270236612702,1606,86.6130686325729,1.6881215663149538,0.8656837882874188,"[86.0248447204969, 84.42367601246106, 86.6043613707165, 89.09657320872275, 86.91588785046729]",3,"[3, 6, 3, 4, 1]",92.17877094972067,0.9225392047809112,93.29608938547486,0.9335109952135232,True,179,91.62011173184358,0.9167190386341382,165,"[87.3,95.3]",167,"[88.6,96.1]"
probe,dinov2_b14,g32_t5,frozen,nomask,avg+max,linear,7680,86.05230386052304,1606,86.05174048489773,1.0511889177284635,0.8598772044382488,"[86.95652173913044, 84.42367601246106, 85.66978193146417, 86.91588785046729, 86.29283489096574]",5,"[5, 3, 5, 6, 5]",91.06145251396647,0.9113277448730732,91.62011173184358,0.9167625274817688,False,179,92.17877094972067,0.9222713994110122,163,"[86.0,94.4]",164,"[86.6,94.9]"
probe,dinov2_b14,g32_t5,frozen,nomask,avg+max,mlp,7680,87.23536737235368,1606,87.23496062382694,1.6520908015473568,0.8716856788740429,"[87.88819875776397, 86.29283489096574, 85.04672897196261, 89.40809968847351, 87.53894080996885]",4,"[9, 5, 3, 3, 4]",93.29608938547486,0.9335058661145618,92.73743016759776,0.9279978024615431,False,179,91.62011173184358,0.9167627332190182,167,"[88.6,96.1]",166,"[88.0,95.7]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,masked,avg,linear,3840,89.04109589041096,1606,89.04104022754977,0.46345597807921773,0.8896494562747421,"[89.13043478260869, 89.7196261682243, 88.78504672897196, 88.47352024922118, 89.09657320872275]",6,"[6, 8, 3, 3, 6]",92.73743016759776,0.9275854532738876,92.17877094972067,0.9220197849527061,False,179,90.5027932960894,0.9060392924976259,166,"[88.0,95.7]",165,"[87.3,95.3]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,masked,avg,mlp,3840,88.54296388542964,1606,88.54182388111685,1.1648360524463794,0.885000013223134,"[90.37267080745342, 88.1619937694704, 88.78504672897196, 87.22741433021807, 88.1619937694704]",9,"[6, 19, 3, 9, 12]",92.17877094972067,0.9221456971739005,92.17877094972067,0.9217662067124432,False,179,89.94413407821229,0.9002196163765313,165,"[87.3,95.3]",165,"[87.3,95.3]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,masked,max,linear,3840,89.04109589041096,1606,89.04123372225769,0.5078721913787505,0.8897799140418752,"[88.81987577639751, 89.40809968847351, 89.7196261682243, 88.78504672897196, 88.47352024922118]",6,"[13, 6, 4, 20, 2]",92.73743016759776,0.9279286108134669,92.73743016759776,0.9275880244570947,False,179,93.85474860335195,0.9386874823241912,166,"[88.0,95.7]",166,"[88.0,95.7]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,masked,max,mlp,3840,89.1656288916563,1606,89.16410286178673,1.428559516921504,0.8911043956306788,"[91.61490683229813, 88.1619937694704, 88.1619937694704, 89.09657320872275, 88.78504672897196]",5,"[5, 10, 5, 4, 3]",93.29608938547486,0.9335385770807766,91.62011173184358,0.9169120882142661,False,179,91.06145251396647,0.9103073890846661,167,"[88.6,96.1]",164,"[86.6,94.9]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,masked,avg+max,linear,7680,88.4184308841843,1606,88.41798726804821,0.9763226041750821,0.8833840670627865,"[89.13043478260869, 89.7196261682243, 87.53894080996885, 87.53894080996885, 88.1619937694704]",3,"[1, 6, 3, 3, 4]",93.29608938547486,0.932835607962805,92.17877094972067,0.9221323783318411,True,179,92.17877094972067,0.9217416310084856,167,"[88.6,96.1]",165,"[87.3,95.3]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,masked,avg+max,mlp,7680,89.53922789539229,1606,89.53890211102727,0.9541806554368468,0.8953434697264788,"[90.06211180124224, 90.03115264797508, 89.7196261682243, 87.85046728971963, 90.03115264797508]",11,"[11, 17, 3, 11, 6]",92.73743016759776,0.9282897900967781,92.17877094972067,0.9222022971307868,False,179,92.17877094972067,0.921918928743408,166,"[88.0,95.7]",165,"[87.3,95.3]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,nomask,avg,linear,3840,86.86176836861769,1606,86.86054836400226,1.9959364137972861,0.8680015520846819,"[88.81987577639751, 85.98130841121495, 88.78504672897196, 84.11214953271028, 86.6043613707165]",7,"[6, 3, 7, 10, 7]",93.85474860335195,0.939256499488741,91.06145251396647,0.9111930360993329,False,179,89.94413407821229,0.9006115401474122,168,"[89.3,96.5]",163,"[86.0,94.4]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,nomask,avg,mlp,3840,86.3013698630137,1606,86.30076817399045,1.1941763826567453,0.8618335388199219,"[87.26708074534162, 85.04672897196261, 87.53894080996885, 86.6043613707165, 85.04672897196261]",5,"[6, 17, 3, 3, 5]",92.17877094972067,0.9229381289353362,92.73743016759776,0.9279170351901054,False,179,91.06145251396647,0.9119536580337974,165,"[87.3,95.3]",166,"[88.0,95.7]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,nomask,max,linear,3840,87.29763387297635,1606,87.29668543565333,1.8813419902848814,0.8725479842717248,"[88.81987577639751, 84.11214953271028, 87.85046728971963, 88.47352024922118, 87.22741433021807]",2,"[4, 5, 1, 2, 1]",88.8268156424581,0.8891411383580528,89.3854748603352,0.8946134755032632,True,179,90.5027932960894,0.9056776917552718,159,"[83.4,92.6]",160,"[84.0,93.1]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,nomask,max,mlp,3840,87.546699875467,1606,87.54687409299355,1.8014630608735607,0.8750074781445513,"[87.26708074534162, 85.04672897196261, 86.91588785046729, 88.78504672897196, 89.7196261682243]",3,"[19, 5, 3, 2, 3]",91.06145251396647,0.9113611637184189,91.62011173184358,0.9162329620520997,True,179,93.29608938547486,0.9332056955659646,163,"[86.0,94.4]",164,"[86.6,94.9]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,nomask,avg+max,linear,7680,87.42216687422167,1606,87.42110253284572,1.1696083684652232,0.873650846377734,"[89.13043478260869, 86.6043613707165, 86.6043613707165, 86.6043613707165, 88.1619937694704]",4,"[4, 3, 4, 5, 8]",92.17877094972067,0.922683257525176,91.06145251396647,0.9115065319719959,False,179,87.15083798882681,0.8738353344770069,165,"[87.3,95.3]",163,"[86.0,94.4]"
probe,dinov2_b14,g37_L1-3-6-9-11,frozen,nomask,avg+max,mlp,7680,87.98256537982564,1606,87.98146320698129,1.8843890708436177,0.8791643869471603,"[89.75155279503106, 85.35825545171339, 88.1619937694704, 89.7196261682243, 86.91588785046729]",7,"[7, 17, 7, 3, 14]",92.73743016759776,0.9284918148184731,94.41340782122904,0.9446482728740793,False,179,91.06145251396647,0.9114307448224351,166,"[88.0,95.7]",169,"[90.0,96.9]"
