filename,category,split
CNT-Fiber-0449.tif,Fiber,train
CNT-Fiber-0446.tif,Fiber,train
CNT-Fiber-0444.tif,Fiber,train
CNT-MatrixSurface-1273.tif,MatrixSurface,train
CNT-Fiber-0451.tif,Fiber,train
CNT-Fiber-0455.tif,Fiber,train
CNT-Cluster-0740.tif,Cluster,train
CNT-Cluster-0751.tif,Cluster,train
CNT-Cluster-0755.tif,Cluster,train
CNT-MatrixSurface-1261.tif,MatrixSurface,train
CNT-Fiber-0461.tif,Fiber,train
CNT-Fiber-0459.tif,Fiber,train
CNT-MatrixSurface-1260.tif,MatrixSurface,train
CNT-Cluster-0735.tif,Cluster,train
CNT-Fiber-0450.tif,Fiber,train
CNT-MatrixSurface-1281.tif,MatrixSurface,train
CNT-Cluster-0754.tif,Cluster,train
CNT-Cluster-0734.tif,Cluster,train
CNT-Cluster-0730.tif,Cluster,train
CNT-MatrixSurface-1270.tif,MatrixSurface,train
CNT-Cluster-0752.tif,Cluster,train
CNT-Cluster-0731.tif,Cluster,train
CNT-MatrixSurface-1271.tif,MatrixSurface,train
CNT-Fiber-0454.tif,Fiber,train
CNT-Matrix-1709.tif,Matrix,train
CNT-MatrixSurface-1266.tif,MatrixSurface,train
CNT-MatrixSurface-1275.tif,MatrixSurface,train
CNT-MatrixSurface-1264.tif,MatrixSurface,train
CNT-Cluster-0742.tif,Cluster,train
CNT-MatrixSurface-1278.tif,MatrixSurface,train
CNT-MatrixSurface-1263.tif,MatrixSurface,train
CNT-Fiber-0443.tif,Fiber,train
CNT-Cluster-0756.tif,Cluster,train
CNT-Matrix-1703.tif,Matrix,train
CNT-Cluster-0744.tif,Cluster,train
CNT-Matrix-1706.tif,Matrix,train
CNT-Cluster-0746.tif,Cluster,train
CNT-Matrix-1705.tif,Matrix,train
CNT-Matrix-1712.tif,Matrix,train
CNT-Fiber-0448.tif,Fiber,train
CNT-Cluster-0736.tif,Cluster,train
CNT-Cluster-0749.tif,Cluster,train
CNT-Cluster-0728.tif,Cluster,train
CNT-Cluster-0732.tif,Cluster,train
CNT-Matrix-1716.tif,Matrix,train
CNT-Cluster-0738.tif,Cluster,train
CNT-Cluster-0745.tif,Cluster,train
CNT-MatrixSurface-1269.tif,MatrixSurface,train
CNT-Cluster-0757.tif,Cluster,train
CNT-MatrixSurface-1280.tif,MatrixSurface,train
CNT-MatrixSurface-1268.tif,MatrixSurface,train
CNT-MatrixSurface-1277.tif,MatrixSurface,train
CNT-Cluster-0733.tif,Cluster,train
CNT-MatrixSurface-1279.tif,MatrixSurface,train
CNT-Cluster-0737.tif,Cluster,train
CNT-MatrixSurface-1262.tif,MatrixSurface,train
CNT-Matrix-1708.tif,Matrix,train
CNT-Fiber-0457.tif,Fiber,train
CNT-Cluster-0726.tif,Cluster,train
CNT-Matrix-1713.tif,Matrix,train
CNT-MatrixSurface-1267.tif,MatrixSurface,train
CNT-Fiber-0458.tif,Fiber,train
CNT-Matrix-1715.tif,Matrix,train
CNT-Matrix-1714.tif,Matrix,train
CNT-Fiber-0460.tif,Fiber,val
CNT-MatrixSurface-1265.tif,MatrixSurface,val
CNT-Matrix-1711.tif,Matrix,val
CNT-Fiber-0447.tif,Fiber,val
CNT-Fiber-0456.tif,Fiber,val
CNT-MatrixSurface-1276.tif,MatrixSurface,val
CNT-Cluster-0750.tif,Cluster,val
CNT-Matrix-1710.tif,Matrix,val
CNT-MatrixSurface-1272.tif,MatrixSurface,test
CNT-Cluster-0753.tif,Cluster,test
CNT-Cluster-0741.tif,Cluster,test
CNT-Cluster-0729.tif,Cluster,test
CNT-Fiber-0445.tif,Fiber,test
CNT-MatrixSurface-1274.tif,MatrixSurface,test
CNT-Matrix-1707.tif,Matrix,test
CNT-Fiber-0453.tif,Fiber,test
